Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[9; 8; 11; 7; 13; 5; 6; 2; 3; 1; 14; 12; 4; 10; 15],18,78755,432414,3818108,24837507,3896863,25269921,30,73937,401613,4355463,28235499,4429400,28637112
[7; 4; 2; 13; 5; 12; 10; 9; 15; 14; 8; 6; 3; 11; 1],18,79742,438897,3685523,24046828,3765265,24485725,30,73937,401613,4355463,28235499,4429400,28637112
[3; 1; 2; 11; 13; 4; 10; 9; 14; 15; 6; 12; 8; 5; 7],19,80979,446640,3857221,25097711,3938200,25544351,30,73937,401613,4355463,28235499,4429400,28637112
[14; 8; 3; 12; 6; 9; 10; 11; 13; 15; 4; 2; 7; 5; 1],18,77252,424253,3800830,24778724,3878082,25202977,30,73937,401613,4355463,28235499,4429400,28637112
[13; 6; 10; 3; 4; 12; 2; 5; 9; 7; 8; 1; 14; 11; 15],17,78747,436047,3746780,24477720,3825527,24913767,30,73937,401613,4355463,28235499,4429400,28637112
[5; 12; 6; 14; 13; 1; 10; 7; 3; 11; 9; 8; 2; 15; 4],17,80036,442303,3645605,23788049,3725641,24230352,30,73937,401613,4355463,28235499,4429400,28637112
[5; 9; 4; 2; 13; 14; 8; 11; 3; 6; 7; 15; 1; 12; 10],15,77014,424029,3665417,23955810,3742431,24379839,30,73937,401613,4355463,28235499,4429400,28637112
[13; 1; 7; 12; 10; 14; 15; 3; 6; 2; 5; 8; 9; 11; 4],16,79570,437592,3635219,23789377,3714789,24226969,30,73937,401613,4355463,28235499,4429400,28637112
[12; 2; 9; 14; 7; 8; 5; 13; 10; 6; 3; 4; 15; 1; 11],18,77263,423756,3673596,23947065,3750859,24370821,30,73937,401613,4355463,28235499,4429400,28637112
[15; 12; 2; 7; 10; 5; 3; 1; 13; 14; 11; 6; 8; 9; 4],16,78908,434957,3614322,23598041,3693230,24032998,30,73937,401613,4355463,28235499,4429400,28637112
[2; 13; 10; 12; 15; 7; 5; 3; 14; 11; 6; 8; 4; 9; 1],16,78059,429349,3652313,23895274,3730372,24324623,30,73937,401613,4355463,28235499,4429400,28637112
[9; 13; 7; 5; 14; 2; 6; 15; 8; 12; 4; 1; 10; 3; 11],16,76871,422836,3686074,24033657,3762945,24456493,30,73937,401613,4355463,28235499,4429400,28637112
[10; 3; 13; 12; 5; 15; 9; 2; 6; 14; 8; 4; 1; 11; 7],19,80114,441201,3830544,24923255,3910658,25364456,30,73937,401613,4355463,28235499,4429400,28637112
[7; 5; 8; 2; 14; 12; 13; 15; 10; 1; 11; 6; 9; 3; 4],18,78096,428293,3776943,24608193,3855039,25036486,30,73937,401613,4355463,28235499,4429400,28637112
[10; 8; 15; 4; 2; 13; 7; 11; 6; 12; 3; 9; 5; 14; 1],18,77606,425126,3791326,24648173,3868932,25073299,30,73937,401613,4355463,28235499,4429400,28637112
[6; 15; 8; 10; 13; 1; 5; 2; 11; 12; 4; 7; 9; 14; 3],19,78513,433018,3793672,24763665,3872185,25196683,30,73937,401613,4355463,28235499,4429400,28637112
[3; 10; 2; 12; 1; 14; 9; 8; 11; 15; 5; 6; 13; 7; 4],19,80886,446073,3827869,24886064,3908755,25332137,30,73937,401613,4355463,28235499,4429400,28637112
