Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[8; 6; 14; 4; 5; 16; 11; 9; 10; 13; 3; 7; 1; 12; 15; 2],18,733539,5663956,75855653,726339564,76589192,732003520,22,642412,4804082,82690520,786870011,83332932,791674093
[14; 11; 8; 4; 9; 12; 6; 15; 7; 13; 3; 2; 10; 16; 5; 1],16,727952,6158298,75614549,723344169,76342501,729502467,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 9; 7; 1; 11; 2; 3; 8; 10; 15; 13; 6; 14; 5; 12; 4],16,747164,5821402,75562106,723882993,76309270,729704395,22,642412,4804082,82690520,786870011,83332932,791674093
[1; 11; 12; 2; 7; 9; 4; 13; 8; 3; 10; 6; 15; 5; 14; 16],16,749382,5824373,76269897,730937585,77019279,736761958,22,642412,4804082,82690520,786870011,83332932,791674093
[9; 13; 12; 10; 6; 14; 4; 16; 11; 3; 5; 2; 1; 15; 7; 8],16,813190,6248494,75911157,729080897,76724347,735329391,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 12; 6; 8; 2; 10; 5; 3; 15; 9; 1; 14; 7; 16; 11; 13],18,728598,5835197,75459090,722126554,76187688,727961751,22,642412,4804082,82690520,786870011,83332932,791674093
[14; 12; 15; 6; 8; 1; 4; 7; 9; 2; 3; 5; 11; 10; 13; 16],16,742698,5723098,77099026,738600890,77841724,744323988,22,642412,4804082,82690520,786870011,83332932,791674093
[7; 14; 11; 13; 5; 8; 3; 4; 16; 10; 9; 1; 2; 12; 6; 15],18,786330,5893670,76717022,735987952,77503352,741881622,22,642412,4804082,82690520,786870011,83332932,791674093
[12; 8; 15; 9; 5; 11; 10; 16; 14; 13; 7; 3; 1; 4; 2; 6],16,775656,5995646,75454495,722561780,76230151,728557426,22,642412,4804082,82690520,786870011,83332932,791674093
[10; 14; 5; 2; 13; 4; 16; 7; 3; 11; 1; 12; 8; 9; 15; 6],18,818402,6104016,80870329,772045931,81688731,778149947,22,642412,4804082,82690520,786870011,83332932,791674093
[13; 16; 12; 2; 9; 10; 4; 5; 11; 14; 15; 7; 3; 6; 8; 1],16,789806,5983800,78173150,749778321,78962956,755762121,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 11; 8; 2; 4; 7; 16; 14; 1; 12; 3; 13; 6; 15; 10; 9],16,701214,5376844,75014040,718440851,75715254,723817695,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 4; 10; 3; 11; 5; 1; 16; 14; 9; 13; 2; 8; 12; 7; 6],18,799277,6175748,77176391,737896730,77975668,744072478,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 2; 13; 1; 12; 6; 10; 15; 11; 4; 16; 3; 9; 5; 14; 7],16,716212,5727132,74562379,713669537,75278591,719396669,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 6; 11; 16; 13; 9; 4; 3; 2; 1; 12; 14; 8; 10; 7; 15],18,694191,5441870,76393133,730373941,77087324,735815811,22,642412,4804082,82690520,786870011,83332932,791674093
[3; 9; 15; 8; 7; 2; 1; 14; 10; 16; 11; 5; 6; 4; 13; 12],16,779662,6243049,75529320,723019028,76308982,729262077,22,642412,4804082,82690520,786870011,83332932,791674093
[12; 2; 10; 7; 4; 15; 9; 13; 8; 11; 1; 5; 16; 14; 6; 3],16,797152,6289992,76655080,734381812,77452232,740671804,22,642412,4804082,82690520,786870011,83332932,791674093
[3; 10; 15; 1; 13; 4; 14; 11; 6; 5; 16; 8; 2; 12; 9; 7],18,817883,6174123,77657282,742027163,78475165,748201286,22,642412,4804082,82690520,786870011,83332932,791674093
[14; 8; 16; 3; 11; 6; 4; 9; 13; 5; 15; 7; 2; 1; 10; 12],16,713576,5653886,75862553,726242590,76576129,731896476,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 6; 2; 8; 3; 11; 1; 14; 7; 12; 15; 13; 10; 9; 16; 4],18,678603,5327058,75866854,725386123,76545457,730713181,22,642412,4804082,82690520,786870011,83332932,791674093
[11; 4; 15; 12; 5; 3; 10; 14; 6; 7; 16; 8; 2; 13; 1; 9],16,781120,6195038,75000631,717729180,75781751,723924218,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 5; 8; 14; 13; 9; 1; 7; 16; 2; 10; 3; 12; 11; 6; 15],16,790510,6192422,74982512,718692572,75773022,724884994,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 8; 9; 13; 16; 12; 3; 1; 10; 7; 15; 4; 6; 2; 14; 11],16,790744,5932754,77354695,742994273,78145439,748927027,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 8; 1; 2; 14; 13; 12; 6; 7; 15; 10; 3; 9; 11; 5; 4],16,709666,5343678,77757463,745500363,78467129,750844041,22,642412,4804082,82690520,786870011,83332932,791674093
[3; 1; 7; 6; 15; 9; 11; 10; 16; 13; 4; 14; 12; 2; 5; 8],16,712120,5694203,74337941,711111830,75050061,716806033,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 9; 15; 7; 1; 14; 5; 2; 3; 10; 8; 6; 11; 16; 13; 12],16,796262,6203430,76556896,733746739,77353158,739950169,22,642412,4804082,82690520,786870011,83332932,791674093
[3; 13; 5; 12; 10; 14; 16; 7; 15; 11; 9; 2; 8; 6; 1; 4],16,814772,6296224,76861542,737006338,77676314,743302562,22,642412,4804082,82690520,786870011,83332932,791674093
[10; 15; 14; 5; 1; 2; 4; 11; 9; 6; 13; 12; 16; 3; 7; 8],18,818402,6104016,80627868,769609856,81446270,775713872,22,642412,4804082,82690520,786870011,83332932,791674093
[9; 14; 5; 13; 15; 11; 6; 4; 12; 3; 8; 16; 2; 10; 1; 7],16,715152,5801361,75690064,724779862,76405216,730581223,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 9; 1; 6; 10; 7; 13; 8; 14; 2; 16; 5; 3; 12; 4; 11],16,733758,5683698,76068753,729042673,76802511,734726371,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 7; 1; 12; 16; 4; 9; 6; 11; 14; 2; 15; 3; 13; 10; 8],18,748385,5774163,75038281,720391411,75786666,726165574,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 4; 12; 13; 6; 16; 15; 9; 8; 14; 1; 11; 7; 10; 2; 3],16,745212,5863918,75748201,725280486,76493413,731144404,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 2; 11; 4; 7; 9; 14; 6; 13; 1; 12; 10; 3; 16; 8; 15],16,708756,5443260,77752071,746400212,78460827,751843472,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 4; 3; 6; 14; 2; 11; 8; 7; 12; 5; 10; 13; 1; 9; 15],16,734558,5701822,77232497,740599691,77967055,746301513,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 8; 10; 16; 11; 6; 7; 13; 12; 14; 3; 5; 9; 4; 2; 1],16,798258,5993490,78128061,750855917,78926319,756849407,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 16; 14; 13; 1; 3; 9; 12; 5; 4; 8; 11; 10; 7; 2; 6],16,781888,5838110,77479427,743889663,78261315,749727773,22,642412,4804082,82690520,786870011,83332932,791674093
[7; 16; 2; 15; 11; 3; 6; 12; 13; 10; 14; 9; 8; 1; 4; 5],18,681726,5092624,76646844,733724899,77328570,738817523,22,642412,4804082,82690520,786870011,83332932,791674093
[3; 16; 2; 1; 6; 11; 14; 5; 4; 13; 7; 12; 8; 10; 9; 15],16,694642,5859946,76213275,729764199,76907917,735624145,22,642412,4804082,82690520,786870011,83332932,791674093
[10; 9; 5; 3; 13; 15; 14; 11; 4; 2; 16; 12; 7; 6; 1; 8],18,818402,6104016,80812505,771307972,81630907,777411988,22,642412,4804082,82690520,786870011,83332932,791674093
[9; 4; 14; 6; 8; 11; 15; 2; 1; 13; 7; 12; 16; 10; 3; 5],16,753610,5697738,76645389,734558642,77398999,740256380,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 11; 6; 9; 2; 16; 4; 3; 10; 5; 14; 12; 15; 13; 7; 1],16,679672,5326654,75522510,723465108,76202182,728791762,22,642412,4804082,82690520,786870011,83332932,791674093
[14; 9; 15; 7; 11; 5; 2; 4; 16; 10; 6; 3; 8; 13; 1; 12],16,769562,5845058,75350827,722029437,76120389,727874495,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 8; 14; 11; 7; 15; 1; 5; 6; 13; 10; 16; 9; 3; 2; 12],16,747492,5997932,75803034,725836230,76550526,731834162,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 4; 6; 9; 1; 14; 3; 2; 7; 12; 15; 8; 11; 5; 13; 10],18,731026,5710491,77029509,738424126,77760535,744134617,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 15; 5; 1; 7; 11; 4; 14; 10; 9; 12; 13; 3; 6; 16; 2],16,763716,5734844,74328685,711797767,75092401,717532611,22,642412,4804082,82690520,786870011,83332932,791674093
[1; 11; 12; 8; 10; 14; 5; 16; 6; 3; 9; 2; 13; 15; 4; 7],16,781876,6070216,75937677,729173942,76719553,735244158,22,642412,4804082,82690520,786870011,83332932,791674093
[1; 5; 15; 12; 14; 10; 8; 9; 16; 13; 6; 11; 4; 2; 7; 3],16,802818,6227382,77069839,739506352,77872657,745733734,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 11; 14; 13; 5; 9; 6; 7; 8; 12; 10; 1; 2; 16; 15; 3],16,755668,5829138,75914525,726629763,76670193,732458901,22,642412,4804082,82690520,786870011,83332932,791674093
[13; 8; 12; 16; 2; 1; 5; 10; 7; 6; 15; 14; 3; 9; 11; 4],16,782386,6306540,76654556,734678145,77436942,740984685,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 14; 11; 3; 4; 7; 10; 16; 9; 12; 13; 2; 5; 1; 15; 8],18,720054,5377330,75683249,723971084,76403303,729348414,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 7; 9; 1; 5; 4; 8; 13; 6; 10; 15; 11; 3; 12; 14; 2],18,727646,5689916,75159613,720500460,75887259,726190376,22,642412,4804082,82690520,786870011,83332932,791674093
[11; 1; 15; 2; 16; 7; 10; 13; 9; 14; 4; 6; 12; 5; 3; 8],16,742462,5718014,76064066,729170511,76806528,734888525,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 10; 6; 11; 4; 14; 5; 2; 3; 12; 16; 15; 1; 7; 13; 9],18,809823,6106835,77633329,742885502,78443152,748992337,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 11; 12; 3; 16; 6; 10; 5; 14; 8; 1; 7; 15; 9; 4; 13],16,695782,5201240,75878502,726709302,76574284,731910542,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 5; 6; 7; 1; 15; 4; 3; 12; 13; 2; 11; 14; 10; 9; 8],16,698280,5409618,75709899,725243383,76408179,730653001,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 3; 16; 4; 7; 9; 5; 12; 14; 8; 13; 1; 15; 6; 10; 11],16,731036,6095286,74632305,715175812,75363341,721271098,22,642412,4804082,82690520,786870011,83332932,791674093
[11; 6; 9; 7; 2; 12; 10; 3; 14; 5; 4; 13; 8; 16; 15; 1],18,686527,5232385,75837597,725895183,76524124,731127568,22,642412,4804082,82690520,786870011,83332932,791674093
[7; 16; 14; 15; 8; 13; 2; 11; 6; 3; 10; 1; 4; 5; 9; 12],18,706638,5298660,76075018,728806798,76781656,734105458,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 15; 12; 1; 10; 13; 8; 9; 14; 7; 16; 11; 5; 2; 6; 3],18,810141,6172422,77072381,735556752,77882522,741729174,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 15; 8; 3; 6; 9; 4; 1; 10; 11; 5; 16; 12; 14; 7; 13],16,711212,5384910,77211518,740413735,77922730,745798645,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 2; 12; 11; 8; 9; 16; 15; 5; 10; 4; 14; 13; 1; 3; 7],18,684626,5109678,75979545,726725602,76664171,731835280,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 9; 14; 16; 1; 10; 7; 5; 13; 4; 6; 8; 3; 11; 2; 12],16,797754,6196476,76145098,729265295,76942852,735461771,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 4; 8; 6; 1; 14; 11; 10; 9; 2; 3; 15; 12; 13; 7; 5],16,736186,5939820,75304332,721519987,76040518,727459807,22,642412,4804082,82690520,786870011,83332932,791674093
[14; 8; 16; 10; 9; 6; 7; 4; 1; 2; 15; 3; 13; 12; 5; 11],16,805078,6043050,79882406,767659489,80687484,773702539,22,642412,4804082,82690520,786870011,83332932,791674093
[12; 16; 2; 10; 6; 4; 1; 14; 11; 13; 8; 5; 15; 9; 3; 7],16,789354,6117428,75711475,725179010,76500829,731296438,22,642412,4804082,82690520,786870011,83332932,791674093
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81161579,774337525,81979981,780441541,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 9; 14; 2; 10; 6; 13; 3; 4; 7; 8; 16; 5; 11; 12; 1],16,795392,6231976,78779442,755559622,79574834,761791598,22,642412,4804082,82690520,786870011,83332932,791674093
[13; 15; 12; 5; 4; 9; 1; 14; 6; 7; 11; 2; 16; 8; 3; 10],16,748824,5812390,76334223,731754567,77083047,737566957,22,642412,4804082,82690520,786870011,83332932,791674093
[7; 13; 9; 5; 2; 15; 14; 6; 11; 12; 1; 3; 10; 16; 4; 8],18,708990,5375785,75950026,727087648,76659016,732463433,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 10; 16; 1; 13; 14; 11; 9; 8; 15; 7; 6; 2; 3; 12; 4],18,813411,6127341,77626891,742290679,78440302,748418020,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 7; 16; 8; 14; 3; 6; 10; 11; 9; 1; 4; 12; 15; 2; 13],18,746990,5720658,75306241,720445696,76053231,726166354,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 3; 14; 5; 13; 8; 9; 1; 12; 10; 2; 16; 7; 4; 15; 11],18,740098,5515432,76749546,733789401,77489644,739304833,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 5; 11; 15; 3; 6; 8; 9; 4; 12; 7; 13; 1; 14; 2; 10],16,687838,5389304,76082825,728509180,76770663,733898484,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 15; 12; 8; 1; 16; 9; 13; 6; 5; 11; 4; 14; 7; 10; 3],16,686652,5520746,77913392,747521034,78600044,753041780,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 12; 13; 8; 6; 7; 16; 1; 14; 2; 11; 4; 15; 9; 3; 10],16,706120,5453490,75913396,727712172,76619516,733165662,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 3; 10; 9; 4; 14; 2; 5; 16; 11; 7; 8; 15; 12; 1; 13],18,743558,5543426,74924187,716487002,75667745,722030428,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 15; 9; 3; 6; 11; 14; 7; 4; 1; 13; 2; 16; 12; 5; 10],16,695636,5232254,76820371,736606102,77516007,741838356,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 9; 14; 15; 4; 10; 1; 5; 2; 16; 7; 12; 13; 8; 11; 3],18,737678,5486192,76962877,736817655,77700555,742303847,22,642412,4804082,82690520,786870011,83332932,791674093
[3; 13; 12; 15; 9; 2; 8; 14; 4; 10; 1; 11; 16; 7; 5; 6],16,782466,6079994,75577728,724628247,76360194,730708241,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 12; 9; 10; 11; 1; 13; 7; 15; 2; 14; 4; 3; 6; 16; 5],16,808080,6067301,74557099,715262165,75365179,721329466,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 10; 3; 1; 12; 2; 5; 8; 7; 14; 15; 16; 9; 6; 13; 11],18,810860,6267882,76315554,730991689,77126414,737259571,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 8; 16; 7; 5; 9; 12; 14; 6; 1; 10; 13; 4; 11; 15; 3],16,704058,5584878,75930166,727493123,76634224,733078001,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 8; 1; 12; 11; 5; 7; 2; 3; 14; 9; 13; 6; 10; 4; 16],16,690900,5247598,77413323,742055400,78104223,747302998,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 2; 13; 6; 5; 14; 7; 1; 12; 4; 9; 15; 10; 11; 3; 16],18,710243,5709775,76649483,733968287,77359726,739678062,22,642412,4804082,82690520,786870011,83332932,791674093
