Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80880716,771770031,81699118,777874047
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80700446,770289567,81518848,776393583
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80890657,771970985,81709059,778075001
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80607054,769329424,81425456,775433440
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81060311,773826209,81878713,779930225
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80842235,771162154,81660637,777266170
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81297736,775849253,82116138,781953269
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80859577,771915279,81677979,778019295
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81673510,779578487,82491912,785682503
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80833220,771306098,81651622,777410114
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81033031,773398739,81851433,779502755
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80728319,770716716,81546721,776820732
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81533752,777876803,82352154,783980819
