Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3686669,24104235,3767619,24550661
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3923381,25595584,4004331,26042012
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3964241,25873159,4045191,26319587
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3704425,24199371,3785375,24645797
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3754960,24488601,3835910,24935027
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3718413,24281308,3799363,24727734
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3947830,25747224,4028780,26193652
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3690731,24126613,3771681,24573039
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3709502,24237546,3790452,24683972
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3754391,24479507,3835341,24925933
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3697426,24179294,3778376,24625720
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3925716,25647864,4006666,26094292
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3947909,25800541,4028859,26246969
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3991663,26023030,4072613,26469458
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3986737,26021122,4067687,26467550
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,4009125,26156014,4090075,26602442
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3676943,24038765,3757893,24485191
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3967831,25860092,4048781,26306520
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446426,3764735,24544129,3845685,24990555
