Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800856,6309278,73669083,707330620,74469939,713639898
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,801274,6282858,74892025,716917146,75693299,723200004
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,801274,6304600,75224113,720633944,76025387,726938544
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800856,6013044,76115679,729864526,76916535,735877570
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800856,6018084,75047715,720512851,75848571,726530935
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,797416,5993698,75643609,724636006,76441025,730629704
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,798968,6277648,75533150,724718583,76332118,730996231
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,801274,6315662,74054351,709925416,74855625,716241078
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800856,6011622,76397917,733639878,77198773,739651500
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800102,6275168,74279885,712375091,75079987,718650259
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800856,6288102,74592308,716019988,75393164,722308090
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,800140,6312146,74926140,717170402,75726280,723482548
[5; 1; 16; 10; 8; 12; 9; 15; 6; 3; 2; 13; 14; 4; 7; 11],16,797416,5989132,75621408,723541401,76418824,729530533
